date,event
2025-09-17,BoC Rate Announcement
2025-09-17,FOMC Decision (Sep 16-17)
2025-10-03,US Employment Situation (NFP)
2025-10-15,US CPI
2025-10-29,BoC Rate Announcement
2025-10-29,FOMC Decision (Oct 28-29)
2025-11-13,US CPI
2025-11-27,NYSE Holiday (Thanksgiving Day)
2025-12-05,US Employment Situation (NFP)
2025-12-09,FOMC Decision (Dec 9-10)
2025-12-10,US CPI
2025-12-10,BoC Rate Announcement
2025-12-25,NYSE Holiday (Christmas Day)
2026-01-01,NYSE Holiday (New Year's Day)
2026-01-15,NYSE Holiday (Martin Luther King Jr. Day)
2026-01-28,US Employment Situation (NFP)
2026-02-16,NYSE Holiday (Presidents' Day)
2026-02-18,US CPI
2026-03-17,BoC Rate Announcement
2026-03-18,FOMC Decision (Mar 17-18)
2026-03-31,US Employment Situation (NFP)
2026-05-01,NYSE Holiday (Labor Day)
2026-05-13,US CPI
2026-05-27,NYSE Holiday (Memorial Day)
2026-06-17,BoC Rate Announcement
2026-06-17,FOMC Decision (Jun 16-17)
2026-07-03,NYSE Holiday (Independence Day Observed)
2026-07-15,US CPI
2026-07-29,US Employment Situation (NFP)
2026-09-02,NYSE Holiday (Labor Day)
2026-09-16,BoC Rate Announcement
2026-09-16,FOMC Decision (Sep 15-16)
2026-10-01,US Employment Situation (NFP)
2026-10-14,NYSE Holiday (Columbus Day)
2026-10-15,US CPI
2026-10-28,BoC Rate Announcement
2026-10-28,FOMC Decision (Oct 27-28)
2026-11-11,NYSE Holiday (Veterans Day)
2026-11-26,NYSE Holiday (Thanksgiving Day)
2026-12-03,US Employment Situation (NFP)
2026-12-09,FOMC Decision (Dec 8-9)
2026-12-10,US CPI
2026-12-09,BoC Rate Announcement
2026-12-25,NYSE Holiday (Christmas Day)
